1/02/2021	106239800
2/02/2021	83305400
3/02/2021	89880900
4/02/2021	84183100
5/02/2021	75524000
8/02/2021	71297200
9/02/2021	76774200
10/02/2021	73046600
11/02/2021	64154400
12/02/2021	60029300
16/02/2021	80576300
17/02/2021	97918500
18/02/2021	96856700
19/02/2021	87668800
22/02/2021	103916400
23/02/2021	158273000
24/02/2021	111039900
25/02/2021	148199500
26/02/2021	164320000
1/03/2021	115998300
2/03/2021	102015300
3/03/2021	112430400
4/03/2021	177275300
5/03/2021	153590400
8/03/2021	153918600
9/03/2021	129159600
10/03/2021	111760400
11/03/2021	102753600
12/03/2021	87963400
15/03/2021	92403800
16/03/2021	114740000
17/03/2021	111437500
18/03/2021	121229700
19/03/2021	185023200
22/03/2021	111912300
23/03/2021	95467100
24/03/2021	88530500
25/03/2021	98844700
26/03/2021	93958900
29/03/2021	80819200
30/03/2021	85671900
31/03/2021	118323800
